transaction_type_pattern,description_pattern,category


.*,DAKU COFFEE,EATING OUT;COFFEE
.*,DAKU London,EATING OUT;COFFEE
.*,COSTA COFFEE,EATING OUT;COFFEE
.*,STARBUCKS,EATING OUT;COFFEE
.*,CAFE NERO,EATING OUT;COFFEE
.*,KNOOPS,EATING OUT;COFFEE
.*,CAFE BAR,EATING OUT;COFFEE
.*,CAFE NERO,EATING OUT;COFFEE
.*,CAFE RAILS,EATING OUT;COFFEE

.*,Wasabi_HighStreetKensi London GB,EATING OUT;LUNCH
.*,WASABI,EATING OUT;LUNCH
.*,WHOLE FOODS MARKET,EATING OUT;LUNCH
.*,PORTLANDS 247,EATING OUT;LUNCH
.*,BAGEL,EATING OUT;LUNCH
.*,UPPER CRUST,EATING OUT;LUNCH

.*,Ancells Fish and Chips,EATING OUT;FAST FOOD
.*,FLYING FISH,EATING OUT;FAST FOOD
.*,THE GOOD BREAKFAST,EATING OUT;FAST FOOD
.*,KFC,EATING OUT;FAST FOOD
.*,MCDONALDS,EATING OUT;FAST FOOD
.*,BURGER KING,EATING OUT;FAST FOOD
.*,GREGGS,EATING OUT;FAST FOOD
.*,NEW ERA,EATING OUT;FAST FOOD
.*,BRIDGE ROAD CAFE,EATING OUT;FAST FOOD
.*,SALT DELI,EATING OUT;FAST FOOD
.*,WOK U LIKE,EATING OUT;FAST FOOD
.*,GOLDEN DRAGON,EATING OUT;FAST FOOD
.*,Diwali Indian,EATING OUT;FAST FOOD
.*,GAILS,EATING OUT;FAST FOOD
.*,TOPS PIZZA,EATING OUT;FAST FOOD
.*,JUBILEE CAFE,EATING OUT;FAST FOOD
.*,MARKS&SPENCER,EATING OUT;FAST FOOD

.*,WATERMILL.ORG,EATING OUT;RESTAURANT
.*,Wagamama,EATING OUT;RESTAURANT
.*,WAGAMAMA,EATING OUT;RESTAURANT
.*,WING STOP,EATING OUT;RESTAURANT
.*,COSY CLUB,EATING OUT;RESTAURANT
.*,COSMO,EATING OUT;RESTAURANT
.*,KARA FLEET,EATING OUT;RESTAURANT
.*,LOUNGERS BRISTOL,EATING OUT;RESTAURANT
.*,WILDERKITCHEN,EATING OUT;RESTAURANT
.*,El Castello,EATING OUT;RESTAURANT
.*,Bella Capri,EATING OUT;RESTAURANT
.*,ALENTO lOUNGE,EATING OUT;RESTAURANT

.*,WETHERSPOON,EATING OUT;PUB
.*,OATSHEAF,EATING OUT;PUB
.*,PARCEL YARD,EATING OUT;PUB
.*,PRINCE OF WALES,EATING OUT;PUB
.*,QUEENS ARMS,EATING OUT;PUB
.*,THE QUEEN HOTEL,EATING OUT;PUB
.*,The Wyvern,EATING OUT;PUB
.*,WILLIAMS ALE,EATING OUT;PUB
.*,WWW.BREWDOG.COM,EATING OUT;PUB
.*,CRAB AND DRAGON,EATING OUT;PUB
.*,GREYHOUND,EATING OUT;PUB
.*,CROOKHAM STREET SOCIAL,EATING OUT;PUB
.*,FOX AND HOUNDS,EATING OUT;PUB
.*,BELL INN,EATING OUT;PUB

.*,TV LICENCE,Entertainment;TV Licence
.*,APPLE.COM,Entertainment;Apple TV
.*,Netflix,Entertainment;Netflix
.*,NETFLIX,Entertainment;Netflix
.*,Amazon Prime,Entertainment;Amazon Prime
.*,Prime Video,Entertainment;Amazon Prime
.*,CINEWORLD,Entertainment;Cinema
.*,Vue Cinemas,Entertainment;Cinema
.*,ALLWYN,Entertainment;Lottery
.*,Spotify,Entertainment;Spotify
.*,Legoland,Entertainment;Legolad

.*,The Lost Est,Entertainment;Theatre
.*,LONDON THEATRE DIRECT,Entertainment;Theatre
.*,Tank Museum,Entertainment;Tank Museum

.*,DORSET NECTAR,Entertainment;Camping & Festivals
.*,TRUCK FESTIVAL,Entertainment;Camping & Festivals
.*,Decathlon,Entertainment;Camping & Festivals
